Here are software testing test cases for an E-commerce Shopping Cart and Checkout, categorized as Functional, Negative, and Edge Cases.

---

## E-commerce Shopping Cart and Checkout Test Cases

### 1. Functional Test Cases (Happy Path)

| Test Case ID | Scenario | Expected Result |
| **EDGE-CART-004** | **Item with Very High Price:** Add an item with an exceptionally high price (e.g., $99,999.99). | The item is added, price and subtotal are displayed correctly without overflow or formatting issues. |
| **EDGE-CART-005** | **Cart with Only Free Items:** Add multiple free items to the cart. | The subtotal should correctly display $0.00. Checkout should proceed without requiring payment details if the total is genuinely zero (and no shipping cost). |
| **EDGE-CART-006** | **Coupon Resulting in Zero/Negative Total (If not explicitly handled):** Apply a large discount coupon that would make the order total zero or negative. | The total should be adjusted to $0.00 (not negative). If free shipping is applicable, payment should be skipped. |
| **EDGE-CHECKOUT-001** | **Order Total is Exactly $0.00:** Place an order where the total comes to zero (e.g., 100% discount, free product, free shipping). | The checkout process should bypass payment steps and confirm the order successfully, without requiring any payment information. |
| **EDGE-CHECKOUT-002** | **Very Long Shipping/Billing Address:** Enter an address with maximum allowed characters in each field (street, city, state, etc.). | The address should be accepted, stored, and displayed correctly on all relevant pages (review, confirmation, admin). |
| **EDGE-CHECKOUT-003** | **Very Long Customer Name:** Enter a first and last name with maximum allowed characters. | The name should be accepted and displayed correctly on all relevant pages. |
| **EDGE-CHECKOUT-004** | **Order with Only Digital Products:** Purchase only digital goods (e.g., e-books, software downloads). | The checkout process should skip shipping information steps and only require billing and payment. |
| **EDGE-CHECKOUT-005** | **Mixed Order (Digital + Physical):** Purchase a mix of digital and physical products. | The checkout process should correctly handle both: requiring shipping for physical items while delivering digital items via download/email. |
| **EDGE-CHECKOUT-006** | **International Address with Unique Format:** Enter a shipping address for a country with a non-standard address format (e.g., specific postal code requirements, reversed street/house number). | The system should correctly accept and process the international address, ideally with dynamic field validation or appropriate guidance. |
| **EDGE-CHECKOUT-007** | **Minimum Order Value:** If there's a minimum order value configured (e.g., $10), attempt to checkout with an order value below it (e.g., $5). | An error message "Minimum order value of $X required" should be displayed, preventing checkout. |
| **EDGE-CHECKOUT-008** | **Network Interruption During Payment:** Simulate a loss of network connectivity right after submitting payment details but before receiving confirmation from the gateway. | The system should handle the interruption gracefully, potentially showing a "Payment pending" or "Error" message, and prevent duplicate charges if the payment eventually went through. |
| **EDGE-CHECKOUT-009** | **Apply Multiple Compatible Coupons:** (If supported) Apply two different, valid coupon codes that can be stacked. | Both coupon discounts are applied cumulatively, and the final total reflects both reductions. |
| **EDGE-CHECKOUT-010** | **Product Price Changes While in Cart:** Add an item to the cart, then an admin updates the product's price, then proceed to checkout. | The cart should display the *updated* price, or a notification should alert the user that "Prices have changed for some items." The checkout total should reflect the latest prices. |
